Title,Author,ISBN Valid,Publisher,Subjects,i,isbn_clean,metadata,description_x,categories,all_text,description_y
L'enlèvement /,"Kauffmann, Grégoire",2080206141; 9782080206145,Flammarion,"Otages français--Liban--1945-1990; Politique et gouvernement--France--1945-1990; Kauffmann, Jean-Paul; Seurat, Michel",1211,2080206141,"{'description': '', 'categories': [], 'avg_rating': 0, 'page_count': 0}",,[],"l'enlèvement / kauffmann, grégoire otages français--liban--1945-1990; politique et gouvernement--france--1945-1990; kauffmann, jean-paul; seurat, michel ",
Babysitter : roman /,"Oates, Joyce Carol, 1938-",9782384820429; 2384820427,Editions Philippe Rey,Roman américain; Thriller (roman),1212,9782384820429,,,,"babysitter : roman / oates, joyce carol, 1938- roman américain; thriller (roman) ",
Humus /,"Koenig, Gaspard",9791032927823,Éditions de l'Observatoire/Humensis,Roman,1213,9791032927823,"{'description': '', 'categories': [], 'avg_rating': 0, 'page_count': 0}",,[],"humus / koenig, gaspard roman ",
Comment le peuple juif fut inventé : de la Bible au sionisme /,"Sand, Shlomo",9782081380288; 2081380285,Flammarion,Juifs--Identité collective; Nationalisme juif; Juifs; Ethnicité; Historiographie; Mythe; Sionisme; Ethnogenèse; 19e siècle-20e siècle; Israël--Histoire; Israël,1214,9782081380288,,,,"comment le peuple juif fut inventé : de la bible au sionisme / sand, shlomo juifs--identité collective; nationalisme juif; juifs; ethnicité; historiographie; mythe; sionisme; ethnogenèse; 19e siècle-20e siècle; israël--histoire; israël ",
Un monde immense : comment les animaux perçoivent le monde /,"Yong, Ed, 1964-",9791020924704,Les Liens qui libèrent,Animaux--Perception; Sens et sensations; Animaux sauvages,1215,9791020924704,,,,"un monde immense : comment les animaux perçoivent le monde / yong, ed, 1964- animaux--perception; sens et sensations; animaux sauvages ",
"Cuisine et spiritualité : récits de chefs, moines, cueilleuses et bouddhistes zen /","Zbinden Sapin, Véronique, 1971-",9782234092228; 2234092221,Editions Stock,Cuisine--Spiritualité; Cuisine--Récolte; Fermentation; Méditation,1216,9782234092228,"{'description': '', 'categories': [], 'avg_rating': 0, 'page_count': 0}",,[],"cuisine et spiritualité : récits de chefs, moines, cueilleuses et bouddhistes zen / zbinden sapin, véronique, 1971- cuisine--spiritualité; cuisine--récolte; fermentation; méditation ",
Le salon de massage : roman /,"Pingeot, Mazarine",9782080419903; 2080419900,Mialet-Barrault Editeurs,Roman français; Sororité; Réalisation de soi,1217,9782080419903,,,,"le salon de massage : roman / pingeot, mazarine roman français; sororité; réalisation de soi ",
Lilas rouge : roman /,"Kaiser-Mühlecker, Reinhard, 1982-",9782378560942; 237856094X,Verdier,,1218,9782378560942,,,,"lilas rouge : roman / kaiser-mühlecker, reinhard, 1982-  ",
On m'appelle Demon Copperhead : roman /,"Kingsolver, Barbara",9782226478375; 222647837X,Albin Michel,,1219,9782226478375,,,,"on m'appelle demon copperhead : roman / kingsolver, barbara  ",
Glaciers : passé-présent du Rhône au Mont-Blanc /,"Zryd, Amédée",9782832103630; 2832103634,Slatkine,Glaciers--Alpes (chaîne); Glaciers--1800-....; glacier--Alpes (chaîne)--19e s. (fin) / 21e s. (début)--[photographies]; glacier--* iconographie--Alpes (chaîne)--17e s. / 21e s. (début); glacier--Alpes (chaîne)--18e s. / 21e s. (début)--[anthologie]; glacier--Alpes (chaîne),1220,9782832103630,"{'description': ""Les Alpes nous semblent éternelles, et nous imaginons avec peine la montagne sans glaciers. Ils constituent notre paysage géographique et sentimental. Pourtant, le climat terrestre évolue et actuellement nous sommes les témoins et les acteurs de ce changement unique dans l'histoire. En 150 ans, certains glaciers alpins ont perdu près de 40% de leur volume et 50% de leur surface. Le glacier - d'Aletsch mesure aujourd'hui la taille p qu'il avait à l'époque romaine. Du glacier du Rhône au massif du Mont-Blanc, ce livre présente l'évolution de 50 glaciers, en comparant les plus anciennes photographies connues de ces sites célèbres à des prises de vue réalisées de nos jours sous le même angle. 120 comparaisons passé-présent, commentées par un glaciologue, et plus de 230 photographies, gravures et peintures, sont accompagnées de textes historiques et littéraires. Ce voyage dans le temps permet de mieux comprendre notre fascination pour les glaciers."", 'categories': ['Glaciers'], 'avg_rating': 0, 'page_count': 295}","Les Alpes nous semblent éternelles, et nous imaginons avec peine la montagne sans glaciers. Ils constituent notre paysage géographique et sentimental. Pourtant, le climat terrestre évolue et actuellement nous sommes les témoins et les acteurs de ce changement unique dans l'histoire. En 150 ans, certains glaciers alpins ont perdu près de 40% de leur volume et 50% de leur surface. Le glacier - d'Aletsch mesure aujourd'hui la taille p qu'il avait à l'époque romaine. Du glacier du Rhône au massif du Mont-Blanc, ce livre présente l'évolution de 50 glaciers, en comparant les plus anciennes photographies connues de ces sites célèbres à des prises de vue réalisées de nos jours sous le même angle. 120 comparaisons passé-présent, commentées par un glaciologue, et plus de 230 photographies, gravures et peintures, sont accompagnées de textes historiques et littéraires. Ce voyage dans le temps permet de mieux comprendre notre fascination pour les glaciers.",['Glaciers'],"glaciers : passé-présent du rhône au mont-blanc / zryd, amédée glaciers--alpes (chaîne); glaciers--1800-....; glacier--alpes (chaîne)--19e s. (fin) / 21e s. (début)--[photographies]; glacier--* iconographie--alpes (chaîne)--17e s. / 21e s. (début); glacier--alpes (chaîne)--18e s. / 21e s. (début)--[anthologie]; glacier--alpes (chaîne) ",
"Spectacular realities : early mass culture in ""Fin-de-Siècle"" Paris /","Schwartz, Vanessa R",0520209591; 9780520209596,University of California Press,culture de masse--Paris (France)--19e s. (fin),1221,0520209591,,,,"spectacular realities : early mass culture in ""fin-de-siècle"" paris / schwartz, vanessa r culture de masse--paris (france)--19e s. (fin) ",
"Le tourisme suisse et son rayonnement international (XIXe-XXe siècles) : ""Switzerland, the playground of the world"" /",,9782889010578; 2889010570,Editions Antipodes,tourisme--Suisse--19e s. / 20e s.--[études diverses]; développement économique--tourisme--Suisse--19e s. (fin) / 20e s. (début)--[études diverses]; innovation technologique--tourisme--Suisse--19e s. (fin) / 20e s. (début)--[études diverses],1222,9782889010578,,,,"le tourisme suisse et son rayonnement international (xixe-xxe siècles) : ""switzerland, the playground of the world"" /  tourisme--suisse--19e s. / 20e s.--[études diverses]; développement économique--tourisme--suisse--19e s. (fin) / 20e s. (début)--[études diverses]; innovation technologique--tourisme--suisse--19e s. (fin) / 20e s. (début)--[études diverses] ",
"Clichés exotiques : le tour du monde en photographies, 1860-1890 /","Gauthier, Lionel, 1982-",9782916231396; 2916231390,Ed de Monza,"Bertrand, Alfred; Musée d'ethnographie (Genève); Photographie ethnographique; Photographie documentaire; Exotisme; 1860-1890",1223,9782916231396,"{'description': ""Avant l'invention de la carte postale, les touristes qui voyagent de par le monde peuvent se procurer sur les sites qu'ils visitent de vrais tirages photographiques figurant les attractions du lieu. Produits pour eux par des photographes professionnels, ces clichés exotiques connaissent une grande diffusion dans les années 1860-1890. Ils constituent l'objet de ce livre. Ces clichés sont moins le reflet du monde que celui de l'imaginaire géographique des photographes et des touristes dont ils voulaient satisfaire les attentes. Feuilleter aujourd'hui l'album de ces belles images, c'est voyager dans l'espace et dans le temps mais aussi à travers une culture visuelle, très marquée par l'idéologie coloniale et qui se cristallise à la fin du XIXe siècle autour de ces clichés. Cette culture a peu changé, c'est pourquoi les quelques centaines de photographies reproduites dans ce livre font encore rêver. Mais le rêve des touristes n'est pas nécessairement partagé par ceux et celles qui ont dû l'incarner..."", 'categories': [], 'avg_rating': 0, 'page_count': 231}","Avant l'invention de la carte postale, les touristes qui voyagent de par le monde peuvent se procurer sur les sites qu'ils visitent de vrais tirages photographiques figurant les attractions du lieu. Produits pour eux par des photographes professionnels, ces clichés exotiques connaissent une grande diffusion dans les années 1860-1890. Ils constituent l'objet de ce livre. Ces clichés sont moins le reflet du monde que celui de l'imaginaire géographique des photographes et des touristes dont ils voulaient satisfaire les attentes. Feuilleter aujourd'hui l'album de ces belles images, c'est voyager dans l'espace et dans le temps mais aussi à travers une culture visuelle, très marquée par l'idéologie coloniale et qui se cristallise à la fin du XIXe siècle autour de ces clichés. Cette culture a peu changé, c'est pourquoi les quelques centaines de photographies reproduites dans ce livre font encore rêver. Mais le rêve des touristes n'est pas nécessairement partagé par ceux et celles qui ont dû l'incarner...",[],"clichés exotiques : le tour du monde en photographies, 1860-1890 / gauthier, lionel, 1982- bertrand, alfred; musée d'ethnographie (genève); photographie ethnographique; photographie documentaire; exotisme; 1860-1890 ",
Virtual voyages : cinema and travel /,,0822337010; 9780822337010; 0822337134; 9780822337133,Duke Univ Press,cinéma documentaire--voyage--1895 / 21e s. (début)--[études diverses],1224,0822337010,,,,virtual voyages : cinema and travel /  cinéma documentaire--voyage--1895 / 21e s. (début)--[études diverses] ,
L'orientalisme : l'Orient créé par l'Occident /,"Said, Edward W., 1935-2003",2020792931; 9782020792936,Seuil,Occident--Orient - image; Occident--orientalisme,1225,2020792931,,,,"l'orientalisme : l'orient créé par l'occident / said, edward w., 1935-2003 occident--orient - image; occident--orientalisme ",
Matériaux pour servir à l'histoire du doctorat H.C. décerné à Benito Mussolini en 1937 /,,,Univ de Lausanne,"doctorat ""honoris causa""--Mussolini, Benito--Université de Lausanne--1937--[document]",1226,,,,,"matériaux pour servir à l'histoire du doctorat h.c. décerné à benito mussolini en 1937 /  doctorat ""honoris causa""--mussolini, benito--université de lausanne--1937--[document] ",
"L'Université vaudoise d'une guerre à l'autre : politique, finances, refuge /","Wisard, François",260103226X; 9782601032260,Université de Lausanne; Payot,Université de Lausanne--1914 / 1945; enseignement supérieur--Vaud (Suisse)--1914 / 1945,1227,260103226X,,,,"l'université vaudoise d'une guerre à l'autre : politique, finances, refuge / wisard, françois université de lausanne--1914 / 1945; enseignement supérieur--vaud (suisse)--1914 / 1945 ",
La photographie et le temps : le déroulement temporel dans l'image photographique /,"Méaux, Danièle",2853994074; 9782853994071,Publications de l'Université de Provence,photographie--temps (durée),1228,2853994074,,,,"la photographie et le temps : le déroulement temporel dans l'image photographique / méaux, danièle photographie--temps (durée) ",
Ne réveille pas l'ours qui dort : une enquête de Jana Berzelius /,"Schepp, Emelie",9791033913306,HarperCollins,,1229,9791033913306,"{'description': '', 'categories': [], 'avg_rating': 0, 'page_count': 0}",,[],"ne réveille pas l'ours qui dort : une enquête de jana berzelius / schepp, emelie  ",
Un cimetière dans le cœur /,"Rankin, Ian, 1960-",9782702451205; 2702451209,Editions du Masque,,1230,9782702451205,,,,"un cimetière dans le cœur / rankin, ian, 1960-  ",
Ombres et lumière  /,"McDermid, Val 1955-....",9782080267504; 2080267507,Flammarion,,1231,9782080267504,,,,"ombres et lumière  / mcdermid, val 1955-....  ",
D'origine inconnue /,"Barclay, Linwood 1955-....",9782714497314; 2714497314,Belfond,Thriller (roman),1232,9782714497314,"{'description': ""Parfois, mieux vaudrait ne pas savoir d'où on vient... Redoutable maître du thriller psychologique, Linwood Barclay s'empare du sujet de la recherche ADN pour livrer un récit effrayant, addictif et diablement noir. Millionnaire de quarante-deux ans, Miles Cookson a tout ce dont il peut rêver. Tout sauf du temps : atteint d'une maladie incurable, il doit rapidement mettre son testament au clair. Et affronter son passé. Car vingt ans plus tôt, Miles a vendu son sperme pour financer ses études. Neuf enfants existent, quelque part, qu'il est déterminé à rencontrer avant de mourir. Première sur la liste, Chloé, vingt-deux ans, trop heureuse de faire la connaissance de ce géniteur. Alors qu'ils se mettent tous deux en quête de ses frères et soeurs, l'euphorie laisse place à l'inquiétude : les autres petits Cookson sont introuvables. Plus étrange encore, leurs domiciles sont vides, nettoyés de toute trace de leurs propriétaires. Pourquoi ces héritiers fuient-ils l'arrivée de leur père providentiel ? Et si la mort avait devancé les plans de Miles ? (Payot)"", 'categories': [], 'avg_rating': 0, 'page_count': 0}","Parfois, mieux vaudrait ne pas savoir d'où on vient... Redoutable maître du thriller psychologique, Linwood Barclay s'empare du sujet de la recherche ADN pour livrer un récit effrayant, addictif et diablement noir. Millionnaire de quarante-deux ans, Miles Cookson a tout ce dont il peut rêver. Tout sauf du temps : atteint d'une maladie incurable, il doit rapidement mettre son testament au clair. Et affronter son passé. Car vingt ans plus tôt, Miles a vendu son sperme pour financer ses études. Neuf enfants existent, quelque part, qu'il est déterminé à rencontrer avant de mourir. Première sur la liste, Chloé, vingt-deux ans, trop heureuse de faire la connaissance de ce géniteur. Alors qu'ils se mettent tous deux en quête de ses frères et soeurs, l'euphorie laisse place à l'inquiétude : les autres petits Cookson sont introuvables. Plus étrange encore, leurs domiciles sont vides, nettoyés de toute trace de leurs propriétaires. Pourquoi ces héritiers fuient-ils l'arrivée de leur père providentiel ? Et si la mort avait devancé les plans de Miles ? (Payot)",[],"d'origine inconnue / barclay, linwood 1955-.... thriller (roman) ",
Fatal tempo : roman /,"Fuglehaug, Randi",9782226455314; 2226455310,Albin Michel,,1233,9782226455314,,,,"fatal tempo : roman / fuglehaug, randi  ",
Comme si nous étions des fantômes /,"Gray, Philip",9782383991007; 2383991007,Sonatine Editions,Roman historique,1234,9782383991007,,,,"comme si nous étions des fantômes / gray, philip roman historique ",
Les oubliés de Marralee /,"Harper, Jane",9782702182840; 2702182844,Calmann-Lévy,,1235,9782702182840,"{'description': '', 'categories': [], 'avg_rating': 0, 'page_count': 0}",,[],"les oubliés de marralee / harper, jane  ",
"Le crime, c'est l'argent /","Markarēs, Petros, 1937-",9782366248005; 2366248008,Cambourakis,Roman policier grec--2000-....,1236,9782366248005,"{'description': '', 'categories': [], 'avg_rating': 0, 'page_count': 0}",,[],"le crime, c'est l'argent / markarēs, petros, 1937- roman policier grec--2000-.... ",
Irlande : 2022/2023,,9782017188063; 2017188069,Hachette,Irlande; Guides touristiques et de visite,1237,9782017188063,,,,irlande : 2022/2023  irlande; guides touristiques et de visite ,
Nous irons mieux demain : roman /,"Rosnay, Tatiana de",9782221264225; 2221264223,Robert Laffont,Roman anglais; Roman psychologique,1238,9782221264225,,,,"nous irons mieux demain : roman / rosnay, tatiana de roman anglais; roman psychologique ",
Le royaume désuni : roman /,"Coe, Jonathan",9782072990878; 2072990874,Gallimard,Roman historique,1239,9782072990878,"{'description': ""En s'appuyant sur quelques événements marquants de l'Angleterre d'après la Seconde Guerre mondiale, Jonathan Coe brosse le portrait d'une famille qui vit à Bournville, village proche de Birmingham. Mary grandit dans la chocolaterie familiale et se fiance lors du couronnement de la reine. Une fois encore, l'auteur excelle à mêler la petite et la grande Histoire politique de son pays. Splendide! payot.ch"", 'categories': [], 'avg_rating': 0, 'page_count': 0}","En s'appuyant sur quelques événements marquants de l'Angleterre d'après la Seconde Guerre mondiale, Jonathan Coe brosse le portrait d'une famille qui vit à Bournville, village proche de Birmingham. Mary grandit dans la chocolaterie familiale et se fiance lors du couronnement de la reine. Une fois encore, l'auteur excelle à mêler la petite et la grande Histoire politique de son pays. Splendide! payot.ch",[],"le royaume désuni : roman / coe, jonathan roman historique ",
Le zéro et l'infini /,"Koestler, Arthur 1905-1983",9782702182284; 2702182283,Calmann-Lévy,,1240,9782702182284,,,,"le zéro et l'infini / koestler, arthur 1905-1983  ",
Les enfants endormis /,"Passeron, Anthony 1983-....",9782383611202; 2383611204,Globe,,1241,9782383611202,"{'description': '', 'categories': [], 'avg_rating': 0, 'page_count': 0}",,[],"les enfants endormis / passeron, anthony 1983-....  ",
She said : l'enquête qui a révélé l'affaire Weinstein et fait exploser le mouvement #MeToo /,"Kantor, Jodi, 1975-",9782379351099; 2379351090,Alisio,"Weinstein, Harvey; Année 2017; Harcèlement sexuel--Etats-Unis; Procès--États-Unis",1242,9782379351099,"{'description': '', 'categories': [], 'avg_rating': 0, 'page_count': 432}",,[],"she said : l'enquête qui a révélé l'affaire weinstein et fait exploser le mouvement #metoo / kantor, jodi, 1975- weinstein, harvey; année 2017; harcèlement sexuel--etats-unis; procès--états-unis ",
Free Queens /,"Ledun, Marin",9782072946967; 2072946964,Gallimard,,1243,9782072946967,,,,"free queens / ledun, marin  ",
"How language works : [how babies babble, words change meaning and languages live or die... ] /","Crystal, David",9780141015521; 0141015527,Penguin Books,langue - évolution; langue--variation (linguistique); langage; langue,1244,9780141015521,,,,"how language works : [how babies babble, words change meaning and languages live or die... ] / crystal, david langue - évolution; langue--variation (linguistique); langage; langue ",
"Le français déchiffré, clé du langage et des langues /","Adamczewski, Henri",2200330529; 9782200330521,A Colin,français (langue)--* linguistique contrastive; linguistique,1245,2200330529,"{'description': ""Cet ouvrage est né de la conviction que la cause majeure de l'échec en langues est à chercher dans l'état d'impréparation notoire des étudiants, qu'il s'agisse des élèves des collèges et lycées ou des adultes qui abordent une langue étrangère à 20, 30 ou 60 ans. Les uns comme les autres partent à la conquète d'une langue vivante sans jamais avoir été amenés à réfléchir sur le langage à travers le fonctionnement de leur propre langue. L'auteur, s'adressant au grand public, s'est donné pour but de faire découvrir l'architecture cachée du français pour faciliter l'accès à d'autres langues. Le français est d'abord replacé dans la grande famille des langues indo-européennes; puis, en en déchiffrant ses mécanismes secrets, le lecteur accédera pas à pas aux lois et principes du langage et, partant, de toutes les langues. Enfin, l'auteur offre sa vision personnelle sur une dizaine de langues: allemand, anglais, arabe, chinois, espagnol, hébreu, hongrois, italien, polonais et russe. L'ensemble de l'ouvrage et une invitation au plurilinguisme, à la fois réponse aux défis de notre temps et condition nécessaire du développement de la francophonie."", 'categories': ['Foreign Language Study'], 'avg_rating': 0, 'page_count': 428}","Cet ouvrage est né de la conviction que la cause majeure de l'échec en langues est à chercher dans l'état d'impréparation notoire des étudiants, qu'il s'agisse des élèves des collèges et lycées ou des adultes qui abordent une langue étrangère à 20, 30 ou 60 ans. Les uns comme les autres partent à la conquète d'une langue vivante sans jamais avoir été amenés à réfléchir sur le langage à travers le fonctionnement de leur propre langue. L'auteur, s'adressant au grand public, s'est donné pour but de faire découvrir l'architecture cachée du français pour faciliter l'accès à d'autres langues. Le français est d'abord replacé dans la grande famille des langues indo-européennes; puis, en en déchiffrant ses mécanismes secrets, le lecteur accédera pas à pas aux lois et principes du langage et, partant, de toutes les langues. Enfin, l'auteur offre sa vision personnelle sur une dizaine de langues: allemand, anglais, arabe, chinois, espagnol, hébreu, hongrois, italien, polonais et russe. L'ensemble de l'ouvrage et une invitation au plurilinguisme, à la fois réponse aux défis de notre temps et condition nécessaire du développement de la francophonie.",['Foreign Language Study'],"le français déchiffré, clé du langage et des langues / adamczewski, henri français (langue)--* linguistique contrastive; linguistique ",
Mind in society : the development of higher psychological processes /,"Vygotskiĭ, Lev Semenovich, 1896-1934",0674576284; 9780674576285; 0674576292; 9780674576292,Harvard Univ Press,développement psychologique--enfant,1246,0674576284,"{'description': 'Vygotsky has long been recognized as a pioneer in developmental psychology. But his theory of development has never been well understood in the West. Mind in Society corrects much of this misunderstanding. Carefully edited by a group of outstanding Vygotsky scholars, the book presents a unique selection of Vygotsky’s important essays.', 'categories': ['Psychology'], 'avg_rating': 0, 'page_count': 190}","Vygotsky has long been recognized as a pioneer in developmental psychology. But his theory of development has never been well understood in the West. Mind in Society corrects much of this misunderstanding. Carefully edited by a group of outstanding Vygotsky scholars, the book presents a unique selection of Vygotsky’s important essays.",['Psychology'],"mind in society : the development of higher psychological processes / vygotskiĭ, lev semenovich, 1896-1934 développement psychologique--enfant ",
Ils parcoururent l'Europe : voyages d'écrivains et d'artistes 1780-1880 /,"Bouheret, Claude",9782882505354; 2882505353,Noir sur Blanc,Écrivains--Voyages--Europe--18e siècle; Écrivains--Voyages--Europe--1789-1900; Artistes--Europe--Voyages--19e siècle; Artistes--Voyages--Europe--18e siècle,1247,9782882505354,"{'description': ""Au temps du romantisme et pendant les décennies qui suivirent, gens de lettres, peintres et musiciens furent pris d'une frénésie de pérégrinations à travers l'Europe. Que cherchaient ces nouveaux voyageurs à une époque où passer les frontières, franchir les mers et les montagnes, demandait tant d'efforts et de temps ? A la fin du XVIIIe siècle, le Grand Tour, qui fut l'invention d'une manière personnelle de voyager et mit Rome au centre de la carte de l'Europe culturelle, incita écrivains et artistes à redécouvrir les merveilles de l'Antiquité, les splendeurs de l'art italien et la lumière des pays du Sud. S'il fut parfois la conséquence d'un exil politique, le voyage se révéla pour la plupart, et en particulier les femmes, un formidable instrument d'émancipation. De sites archéologiques en ateliers d'artiste, d'auberges en salles de jeu ou de bal, ces hommes et ces femmes de qualité, indépendants, souvent polyglottes et généralement francophones, tissèrent un incomparable réseau d'échanges culturels à travers le continent, de Saint-Pétersbourg à Genève, de Londres à Constantinople, de Paris à Rome, préfigurant à sa manière l'Europe d'aujourd'hui. Richement illustré et conçu comme une galerie de portraits en mouvement, de Mme de Staël à Lou Andréas Salomé, de Goethe à Dostoïevski, de Mendelssohn à Byron, l'ouvrage accompagne gens de lettres, peintres et musiciens dans leurs pérégrinations, et replace leurs créations – journaux intimes, relations de voyage, correspondances, oeuvres d'art et musicales – dans le temps long de l'histoire culturelle d'une période durant laquelle voyager était à la fois une épreuve physique, une aventure personnelle et un apprentissage du monde."", 'categories': [], 'avg_rating': 0, 'page_count': 476}","Au temps du romantisme et pendant les décennies qui suivirent, gens de lettres, peintres et musiciens furent pris d'une frénésie de pérégrinations à travers l'Europe. Que cherchaient ces nouveaux voyageurs à une époque où passer les frontières, franchir les mers et les montagnes, demandait tant d'efforts et de temps ? A la fin du XVIIIe siècle, le Grand Tour, qui fut l'invention d'une manière personnelle de voyager et mit Rome au centre de la carte de l'Europe culturelle, incita écrivains et artistes à redécouvrir les merveilles de l'Antiquité, les splendeurs de l'art italien et la lumière des pays du Sud. S'il fut parfois la conséquence d'un exil politique, le voyage se révéla pour la plupart, et en particulier les femmes, un formidable instrument d'émancipation. De sites archéologiques en ateliers d'artiste, d'auberges en salles de jeu ou de bal, ces hommes et ces femmes de qualité, indépendants, souvent polyglottes et généralement francophones, tissèrent un incomparable réseau d'échanges culturels à travers le continent, de Saint-Pétersbourg à Genève, de Londres à Constantinople, de Paris à Rome, préfigurant à sa manière l'Europe d'aujourd'hui. Richement illustré et conçu comme une galerie de portraits en mouvement, de Mme de Staël à Lou Andréas Salomé, de Goethe à Dostoïevski, de Mendelssohn à Byron, l'ouvrage accompagne gens de lettres, peintres et musiciens dans leurs pérégrinations, et replace leurs créations – journaux intimes, relations de voyage, correspondances, oeuvres d'art et musicales – dans le temps long de l'histoire culturelle d'une période durant laquelle voyager était à la fois une épreuve physique, une aventure personnelle et un apprentissage du monde.",[],"ils parcoururent l'europe : voyages d'écrivains et d'artistes 1780-1880 / bouheret, claude écrivains--voyages--europe--18e siècle; écrivains--voyages--europe--1789-1900; artistes--europe--voyages--19e siècle; artistes--voyages--europe--18e siècle ",
"Gustave de Beaumont, 1851-1922 : peintre de la vie genevoise /","Gajo-Guyot, Coraline 19..-....",9782940637676; 2940637679,Château & Attinger,"Beaumont, Gustave de--(peintre)",1248,9782940637676,,,,"gustave de beaumont, 1851-1922 : peintre de la vie genevoise / gajo-guyot, coraline 19..-.... beaumont, gustave de--(peintre) ",
Pop art /,"Honnef, Klaus",3822822175; 9783822822173,Taschen,pop art,1249,3822822175,,,,"pop art / honnef, klaus pop art ",
Grèce continentale : îles loniennes,,9782067257498; 2067257498,Michelin éditions,Iles Ioniennes (Grèce); Grèce continentale; [Guides touristiques et de visite],1250,9782067257498,,,,grèce continentale : îles loniennes  iles ioniennes (grèce); grèce continentale; [guides touristiques et de visite] ,
Végan pour que dalle /,"Adank, Joel 1991-....",9782940673681; 2940673683,Helvetiq,Cuisine végétalienne; Livres de cuisine,1251,9782940673681,,,,"végan pour que dalle / adank, joel 1991-.... cuisine végétalienne; livres de cuisine ",
Le bord du monde est vertical /,"Parcot, Simon 19..-....",9782384310272; 2384310275,Le Mot et le reste,,1252,9782384310272,"{'description': ""Au coeur de la Vallée des glaces, une cordée de deux chiens (Moïra, Zéphyr), une femme (Ysé) et trois hommes (Gaspard, Solal et Vik) a? ronte une tempête de neige pour rejoindre le Reculoir, l'ultime hameau avant le Bord du monde, cette gigantesque montagne dont nul n'a pu voir le sommet. Initialement dépêchée pour une mission de routine, l'équipée découvre que son chef a un autre dessein. Embrasé par le prêche du Père Salomon, un mystique abreuvé de? brûle-gorge qui dit connaître le moyen de s'élever jusqu'au sommet de la montagne, Gaspard a décidé de tenter la grande Ascension. Fraîchement recruté, le jeune Solal devra suivre son mentor dans sa quête d'absolu ou écrire son propre destin. [Payot.ch]"", 'categories': [], 'avg_rating': 0, 'page_count': 0}","Au coeur de la Vallée des glaces, une cordée de deux chiens (Moïra, Zéphyr), une femme (Ysé) et trois hommes (Gaspard, Solal et Vik) a? ronte une tempête de neige pour rejoindre le Reculoir, l'ultime hameau avant le Bord du monde, cette gigantesque montagne dont nul n'a pu voir le sommet. Initialement dépêchée pour une mission de routine, l'équipée découvre que son chef a un autre dessein. Embrasé par le prêche du Père Salomon, un mystique abreuvé de? brûle-gorge qui dit connaître le moyen de s'élever jusqu'au sommet de la montagne, Gaspard a décidé de tenter la grande Ascension. Fraîchement recruté, le jeune Solal devra suivre son mentor dans sa quête d'absolu ou écrire son propre destin. [Payot.ch]",[],"le bord du monde est vertical / parcot, simon 19..-....  ",
La Swiss-South African Association (1956-2000) : un organe du capital helvétique en Afrique du Sud /,"Gygax, David",,Chaire d'histoire contemporaine de l'Université de Fribourg,Swiss-South African Association (Zurich)--1956 / 2000; Swiss-South African Association (Zurich); relations économiques internationales--Afrique du sud (république)--Suisse--1956 / 2000; Relations économiques extérieures; 20e siècle (2e moitié); Suisse; Afrique du Sud (république),1253,,,,,"la swiss-south african association (1956-2000) : un organe du capital helvétique en afrique du sud / gygax, david swiss-south african association (zurich)--1956 / 2000; swiss-south african association (zurich); relations économiques internationales--afrique du sud (république)--suisse--1956 / 2000; relations économiques extérieures; 20e siècle (2e moitié); suisse; afrique du sud (république) ",
Pourquoi tout compliquer ? : bien manger est si simple /,"Fardet, Anthony",9782365495196; 2365495192,Thierry Souccar Editions,Nutrition; Diététique; Aliments--Qualité; Industries agroalimentaires,1254,9782365495196,,,,"pourquoi tout compliquer ? : bien manger est si simple / fardet, anthony nutrition; diététique; aliments--qualité; industries agroalimentaires ",
La vraie vie /,"Dieudonné, Adeline 1982-",9782253100782; 2253100781,Le livre de poche,,1255,9782253100782,"{'description': '', 'categories': [], 'avg_rating': 0, 'page_count': 0}",,[],"la vraie vie / dieudonné, adeline 1982-  ",
Comment parler baleine : l'incroyable avenir de la communication animale /,"Mustill, Tom 1983-....",9782226478481; 2226478485,Albin Michel,Baleines--Comportement animal; Communication animale; Communication avec les animaux,1256,9782226478481,,,,"comment parler baleine : l'incroyable avenir de la communication animale / mustill, tom 1983-.... baleines--comportement animal; communication animale; communication avec les animaux ",
"Améliorer ses compétences émotionnelles en 8 modules : les identifier, les comprendre, les réguler, les exprimer, les utiliser /",,9782100825943; 2100825941,Dunod,Compétence; Émotions; Psychologie,1257,9782100825943,,,,"améliorer ses compétences émotionnelles en 8 modules : les identifier, les comprendre, les réguler, les exprimer, les utiliser /  compétence; émotions; psychologie ",
